Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","084","Belize","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2126","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","084","Belize","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2047","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","084","Belize","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","40.5","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","084","Belize","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","36.62","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","084","Belize","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","42.73","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","084","Belize","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","43.23","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2634","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2682","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","50.74","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","674","Disponibilité de protéines en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","55.43","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2018","2018","g/personne/jour","44.87","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","684","Disponibilité de matière grasse en quantité (g/personne/jour)","S2903","Produits Vegetaux","2019","2019","g/personne/jour","50.29","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","064","Bhoutan","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2019","2019","Kcal/personne/jour","2828","E","Valeur estimée"
